Timestamp(ms),Elapsed(s),Phase,FPS,RTT(ms),MTP(ms),Jitter(ms),Loss(%),LoadRatio,CPU_Load(ms),Reward_Inst,Reward_Cum
12235,0.000,,120.00,2.0,3.2,0.0,0.00,0.200,0.0,0.0000,0.0000
13845,0.020,P1: 天堂,114.06,2.1,4.5,0.7,0.00,0.200,3.1,0.0000,0.0000
13962,0.040,P1: 天堂,109.34,2.3,4.7,0.8,0.00,0.200,3.0,0.0000,0.0000
14021,0.201,P1: 天堂,91.69,3.0,5.1,0.6,0.00,0.200,3.2,0.0000,0.0000
14073,0.255,P1: 天堂,89.69,3.2,5.5,0.9,0.00,0.200,3.1,0.0000,0.0000
14126,0.309,P1: 天堂,88.09,3.3,5.8,1.2,0.00,0.200,3.1,0.0000,0.0000
14178,0.360,P1: 天堂,86.86,3.4,5.8,1.1,0.00,0.200,3.1,0.0000,0.0000
14233,0.414,P1: 天堂,86.63,3.5,5.6,0.7,0.00,0.200,3.1,0.0000,0.0000
14288,0.469,P1: 天堂,85.54,3.5,5.6,0.5,0.00,0.200,3.5,0.0000,0.0000
14342,0.524,P1: 天堂,85.28,3.6,5.8,0.7,0.00,0.200,3.7,0.0000,0.0000
14400,0.581,P1: 天堂,83.83,3.6,5.9,0.8,0.00,0.200,3.9,0.0000,0.0000
14461,0.641,P1: 天堂,84.82,3.7,5.7,0.6,0.00,0.200,3.7,0.0000,0.0000
14519,0.700,P1: 天堂,84.89,3.7,5.6,0.4,0.00,0.200,3.5,0.0000,0.0000
14579,0.758,P1: 天堂,84.91,3.7,5.7,0.6,0.00,0.200,3.6,0.0000,0.0000
14632,0.807,P1: 天堂,84.91,3.7,5.8,0.7,0.00,0.200,3.1,0.0000,0.0000
14696,0.873,P1: 天堂,84.71,3.7,5.7,0.6,0.00,0.200,3.1,0.0000,0.0000
14749,0.928,P1: 天堂,85.09,3.8,5.6,0.4,0.00,0.200,3.1,0.0000,0.0000
14802,0.979,P1: 天堂,84.16,3.8,5.8,0.5,0.00,0.200,3.8,0.0000,0.0000
14866,1.045,P1: 天堂,83.68,3.8,6.1,0.8,0.00,0.200,4.0,0.0000,0.0000
14922,1.103,P1: 天堂,83.93,3.8,6.3,1.2,0.00,0.200,3.8,0.0000,0.0000
14978,1.158,P1: 天堂,84.65,3.8,6.2,1.1,0.00,0.200,3.5,0.0000,0.0000
15040,1.220,P1: 天堂,84.80,3.8,5.9,0.7,0.00,0.200,3.4,0.0000,0.0000
15104,1.283,P1: 天堂,84.80,3.8,5.6,0.3,0.00,0.200,3.7,0.0000,0.0000
15168,1.348,P1: 天堂,84.01,3.8,5.6,0.3,0.00,0.200,3.8,0.0000,0.0000
15226,1.406,P1: 天堂,84.28,3.8,5.9,0.6,0.00,0.200,3.6,0.0000,0.0000
15283,1.464,P1: 天堂,84.06,3.8,6.1,1.0,0.00,0.200,3.6,0.0000,0.0000
15340,1.521,P1: 天堂,84.65,3.8,6.2,1.2,0.00,0.200,3.2,0.0000,0.0000
15401,1.579,P1: 天堂,83.93,3.8,6.2,0.9,0.00,0.200,3.8,0.0000,0.0000
15451,1.628,P1: 天堂,84.88,3.8,5.9,0.7,0.00,0.200,3.6,0.0000,0.0000
15507,1.646,P1: 天堂,84.61,3.8,5.8,0.6,0.00,0.200,3.7,0.0000,0.0000
15567,1.747,P1: 天堂,83.68,3.8,5.7,0.5,0.00,0.200,3.3,0.0000,0.0000
15626,1.805,P1: 天堂,84.42,3.8,5.9,0.7,0.00,0.200,3.4,0.0000,0.0000
15684,1.865,P1: 天堂,85.37,3.8,5.9,0.8,0.00,0.200,3.1,0.0000,0.0000
15747,1.919,P1: 天堂,86.18,3.8,6.0,0.9,0.00,0.200,3.1,0.0000,0.0000
15806,1.986,P1: 天堂,85.58,3.8,5.9,0.9,0.00,0.200,3.0,0.0000,0.0000
15869,2.049,P1: 天堂,84.39,3.8,5.8,0.5,0.00,0.200,3.7,0.0000,0.0000
15929,2.109,P1: 天堂,84.47,3.8,5.5,0.2,0.00,0.200,3.3,0.0000,0.0000
15992,2.167,P1: 天堂,84.80,3.8,5.6,0.4,0.00,0.200,3.3,0.0000,0.0000
16061,2.227,P1: 天堂,85.00,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
16129,2.297,P1: 天堂,85.05,3.8,6.1,1.0,0.00,0.200,3.4,0.0000,0.0000
16193,2.369,P1: 天堂,84.52,3.8,6.0,0.8,0.00,0.200,3.9,0.0000,0.0000
16246,2.423,P1: 天堂,84.57,3.8,5.9,0.7,0.00,0.200,3.7,0.0000,0.0000
16297,2.477,P1: 天堂,85.34,3.8,5.8,0.7,0.00,0.200,3.1,0.0000,0.0000
16360,2.540,P1: 天堂,84.71,3.8,6.0,0.7,0.00,0.200,3.8,0.0000,0.0000
16421,2.601,P1: 天堂,85.48,3.8,5.8,0.7,0.00,0.200,3.1,0.0000,0.0000
16483,2.656,P1: 天堂,84.77,3.8,5.9,0.7,0.00,0.200,3.6,0.0000,0.0000
16540,2.713,P1: 天堂,85.69,3.8,5.8,0.7,0.00,0.200,3.1,0.0000,0.0000
16591,2.769,P1: 天堂,84.57,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
16647,2.826,P1: 天堂,84.64,3.8,6.0,0.7,0.00,0.200,3.9,0.0000,0.0000
16713,2.891,P1: 天堂,84.98,3.8,5.7,0.5,0.00,0.200,3.2,0.0000,0.0000
16775,2.954,P1: 天堂,84.23,3.8,5.8,0.4,0.00,0.200,3.9,0.0000,0.0000
16833,3.014,P1: 天堂,84.09,3.8,5.8,0.7,0.00,0.200,3.1,0.0000,0.0000
16895,3.076,P1: 天堂,84.10,3.8,6.0,0.8,0.00,0.200,3.6,0.0000,0.0000
16958,3.137,P1: 天堂,83.88,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
17023,3.201,P1: 天堂,83.32,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
17085,3.265,P1: 天堂,83.17,3.8,6.2,1.0,0.00,0.200,3.9,0.0000,0.0000
17157,3.326,P1: 天堂,83.35,3.8,6.4,1.2,0.00,0.200,3.8,0.0000,0.0000
17217,3.394,P1: 天堂,84.38,3.8,6.0,0.8,0.00,0.200,3.4,0.0000,0.0000
17277,3.457,P1: 天堂,85.71,3.8,5.6,0.5,0.00,0.200,3.0,0.0000,0.0000
17334,3.516,P1: 天堂,85.29,3.8,5.5,0.2,0.00,0.200,3.6,0.0000,0.0000
17390,3.571,P1: 天堂,85.18,3.8,5.8,0.4,0.00,0.200,4.0,0.0000,0.0000
17446,3.626,P1: 天堂,84.63,3.8,6.0,0.7,0.00,0.200,4.0,0.0000,0.0000
17500,3.681,P1: 天堂,84.61,3.8,6.3,1.1,0.00,0.200,3.9,0.0000,0.0000
17555,3.737,P1: 天堂,84.75,3.8,6.3,1.2,0.00,0.200,3.5,0.0000,0.0000
17613,3.793,P1: 天堂,84.95,3.8,6.0,0.9,0.00,0.200,3.5,0.0000,0.0000
17667,3.848,P1: 天堂,85.65,3.8,5.7,0.6,0.00,0.200,3.0,0.0000,0.0000
17721,3.903,P1: 天堂,84.58,3.8,5.7,0.4,0.00,0.200,3.4,0.0000,0.0000
17777,3.958,P1: 天堂,84.32,3.8,5.9,0.6,0.00,0.200,3.8,0.0000,0.0000
17830,4.012,P1: 天堂,84.18,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
17881,4.063,P1: 天堂,83.96,3.8,5.9,0.7,0.00,0.200,3.6,0.0000,0.0000
17933,4.116,P1: 天堂,83.48,3.8,6.0,0.7,0.00,0.200,3.8,0.0000,0.0000
18081,4.166,P1: 天堂,83.65,3.8,6.0,0.7,0.00,0.200,3.9,0.0000,0.0000
18139,4.319,P1: 天堂,84.17,3.8,5.6,0.4,0.00,0.200,3.1,0.0000,0.0000
18197,4.376,P1: 天堂,84.24,3.8,5.6,0.5,0.00,0.200,3.1,0.0000,0.0000
18255,4.435,P1: 天堂,85.12,3.8,5.9,0.8,0.00,0.200,3.0,0.0000,0.0000
18309,4.490,P1: 天堂,84.40,3.8,6.2,1.0,0.00,0.200,3.8,0.0000,0.0000
18364,4.545,P1: 天堂,83.98,3.8,6.1,0.9,0.00,0.200,3.8,0.0000,0.0000
18417,4.598,P1: 天堂,83.87,3.8,5.9,0.7,0.00,0.200,3.7,0.0000,0.0000
18473,4.655,P1: 天堂,84.09,3.8,6.0,0.7,0.00,0.200,3.9,0.0000,0.0000
18526,4.708,P1: 天堂,84.38,3.8,6.0,0.9,0.00,0.200,3.0,0.0000,0.0000
18578,4.759,P1: 天堂,84.96,3.8,6.1,1.0,0.00,0.200,3.3,0.0000,0.0000
18631,4.812,P1: 天堂,84.37,3.8,6.0,0.7,0.00,0.200,3.6,0.0000,0.0000
18682,4.863,P1: 天堂,84.38,3.8,5.8,0.5,0.00,0.200,3.7,0.0000,0.0000
18734,4.916,P1: 天堂,84.46,3.8,5.7,0.4,0.00,0.200,3.8,0.0000,0.0000
18787,4.969,P1: 天堂,83.90,3.8,5.8,0.6,0.00,0.200,3.3,0.0000,0.0000
18839,5.021,P1: 天堂,85.01,3.8,5.9,0.7,0.00,0.200,3.5,0.0000,0.0000
18892,5.074,P1: 天堂,84.81,3.8,5.9,0.8,0.00,0.200,3.2,0.0000,0.0000
18948,5.129,P1: 天堂,84.54,3.8,6.0,1.0,0.00,0.200,3.0,0.0000,0.0000
19003,5.184,P1: 天堂,83.61,3.8,6.1,0.9,0.00,0.200,3.6,0.0000,0.0000
19057,5.239,P1: 天堂,83.97,3.8,5.9,0.6,0.00,0.200,3.8,0.0000,0.0000
19111,5.292,P1: 天堂,83.87,3.8,5.8,0.6,0.00,0.200,3.3,0.0000,0.0000
19164,5.346,P1: 天堂,84.02,3.8,6.0,0.8,0.00,0.200,3.4,0.0000,0.0000
19220,5.401,P1: 天堂,83.42,3.8,6.0,0.8,0.00,0.200,3.7,0.0000,0.0000
19274,5.456,P1: 天堂,83.84,3.8,5.9,0.6,0.00,0.200,3.9,0.0000,0.0000
19330,5.511,P1: 天堂,83.37,3.8,6.0,0.7,0.00,0.200,4.0,0.0000,0.0000
19384,5.566,P1: 天堂,83.29,3.8,6.1,0.8,0.00,0.200,4.0,0.0000,0.0000
19439,5.621,P1: 天堂,84.43,3.8,5.8,0.7,0.00,0.200,3.3,0.0000,0.0000
19492,5.674,P1: 天堂,84.32,3.8,5.8,0.5,0.00,0.200,3.9,0.0000,0.0000
19542,5.725,P1: 天堂,84.80,3.8,5.6,0.5,0.00,0.200,3.1,0.0000,0.0000
19599,5.779,P1: 天堂,84.09,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
19657,5.839,P1: 天堂,84.63,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
19716,5.897,P1: 天堂,84.17,3.8,5.9,0.7,0.00,0.200,3.7,0.0000,0.0000
19774,5.954,P1: 天堂,84.72,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
19832,6.012,P1: 天堂,84.99,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
19885,6.066,P1: 天堂,84.52,3.8,5.9,0.6,0.00,0.200,3.9,0.0000,0.0000
19940,6.121,P1: 天堂,85.07,3.8,5.7,0.4,0.00,0.200,3.4,0.0000,0.0000
19996,6.177,P1: 天堂,84.85,3.8,5.7,0.5,0.00,0.200,3.3,0.0000,0.0000
20050,6.231,P1: 天堂,84.10,3.8,6.0,0.8,0.00,0.200,4.0,0.0000,0.0000
20103,6.285,P1: 天堂,84.00,3.8,6.0,0.8,0.00,0.200,3.7,0.0000,0.0000
20155,6.338,P1: 天堂,84.09,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
20210,6.391,P1: 天堂,84.75,3.8,5.7,0.6,0.00,0.200,3.1,0.0000,0.0000
20263,6.444,P1: 天堂,84.67,3.8,5.9,0.8,0.00,0.200,3.3,0.0000,0.0000
20316,6.497,P1: 天堂,85.45,3.8,5.9,0.8,0.00,0.200,3.4,0.0000,0.0000
20367,6.549,P1: 天堂,84.70,3.8,5.8,0.6,0.00,0.200,3.3,0.0000,0.0000
20420,6.601,P1: 天堂,84.71,3.8,5.8,0.6,0.00,0.200,3.5,0.0000,0.0000
20471,6.654,P1: 天堂,84.93,3.8,6.1,0.9,0.00,0.200,3.7,0.0000,0.0000
20524,6.706,P1: 天堂,84.43,3.8,6.2,1.0,0.00,0.200,3.9,0.0000,0.0000
20577,6.758,P1: 天堂,84.17,3.8,6.0,0.8,0.00,0.200,3.5,0.0000,0.0000
20629,6.811,P1: 天堂,84.03,3.8,6.0,0.7,0.00,0.200,3.9,0.0000,0.0000
20682,6.864,P1: 天堂,84.08,3.8,6.0,0.7,0.00,0.200,4.0,0.0000,0.0000
20745,6.903,P1: 天堂,84.02,3.8,5.9,0.7,0.00,0.200,3.7,0.0000,0.0000
20797,6.978,P1: 天堂,84.54,3.8,5.9,0.7,0.00,0.200,3.4,0.0000,0.0000
20854,7.034,P1: 天堂,84.27,3.8,5.9,0.7,0.00,0.200,3.4,0.0000,0.0000
20906,7.088,P1: 天堂,84.15,3.8,6.0,0.8,0.00,0.200,3.6,0.0000,0.0000
20962,7.143,P1: 天堂,84.25,3.8,6.1,1.0,0.00,0.200,3.4,0.0000,0.0000
21020,7.201,P1: 天堂,84.68,3.8,5.9,0.8,0.00,0.200,3.3,0.0000,0.0000
21080,7.258,P1: 天堂,84.61,3.8,5.8,0.6,0.00,0.200,3.7,0.0000,0.0000
21135,7.317,P1: 天堂,84.46,3.8,5.9,0.7,0.00,0.200,3.7,0.0000,0.0000
21194,7.375,P1: 天堂,84.56,3.8,6.0,0.8,0.00,0.200,3.3,0.0000,0.0000
21249,7.429,P1: 天堂,84.27,3.8,6.0,0.7,0.00,0.200,4.0,0.0000,0.0000
21306,7.487,P1: 天堂,83.66,3.8,5.8,0.4,0.00,0.200,3.9,0.0000,0.0000
21365,7.546,P1: 天堂,84.29,3.8,5.7,0.5,0.00,0.200,3.1,0.0000,0.0000
21421,7.602,P1: 天堂,84.81,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
22038,7.636,P1: 天堂,85.28,3.8,5.8,0.7,0.00,0.200,3.2,0.0000,0.0000
22481,7.969,P1: 天堂,82.28,3.8,5.8,0.5,0.00,0.200,3.8,0.0000,0.0000
22532,8.341,P1: 天堂,86.79,3.8,5.6,0.4,0.00,0.200,3.0,0.0000,0.0000
22584,8.392,P1: 天堂,85.88,3.8,5.8,0.6,0.00,0.200,3.5,0.0000,0.0000
22641,8.447,P1: 天堂,84.42,3.8,6.1,0.8,0.00,0.200,3.9,0.0000,0.0000
22698,8.505,P1: 天堂,84.96,3.8,5.9,0.8,0.00,0.200,3.2,0.0000,0.0000
22753,8.560,P1: 天堂,84.68,3.8,5.8,0.6,0.00,0.200,3.7,0.0000,0.0000
22814,8.621,P1: 天堂,85.39,3.8,5.9,0.7,0.00,0.200,3.5,0.0000,0.0000
22875,8.682,P1: 天堂,85.01,3.8,6.0,0.8,0.00,0.200,3.4,0.0000,0.0000
22932,8.739,P1: 天堂,84.60,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
22987,8.795,P1: 天堂,84.42,3.8,5.7,0.6,0.00,0.200,3.1,0.0000,0.0000
23044,8.850,P1: 天堂,83.89,3.8,6.1,0.9,0.00,0.200,3.9,0.0000,0.0000
23098,8.906,P1: 天堂,83.63,3.8,6.4,1.2,0.00,0.200,3.9,0.0000,0.0000
23150,8.959,P1: 天堂,83.71,3.8,6.1,1.1,0.00,0.200,3.1,0.0000,0.0000
23204,9.011,P1: 天堂,84.15,3.8,5.9,0.7,0.00,0.200,3.5,0.0000,0.0000
23263,9.067,P1: 天堂,84.00,3.8,5.8,0.5,0.00,0.200,3.4,0.0000,0.0000
23317,9.126,P1: 天堂,84.49,3.8,5.9,0.7,0.00,0.200,3.3,0.0000,0.0000
23371,9.179,P1: 天堂,84.11,3.8,6.1,0.8,0.00,0.200,3.7,0.0000,0.0000
23426,9.234,P1: 天堂,84.09,3.8,5.9,0.6,0.00,0.200,3.7,0.0000,0.0000
23477,9.286,P1: 天堂,83.99,3.8,5.8,0.4,0.00,0.200,3.9,0.0000,0.0000
23529,9.336,P1: 天堂,84.30,3.8,5.8,0.5,0.00,0.200,3.9,0.0000,0.0000
23586,9.392,P1: 天堂,84.53,3.8,5.9,0.7,0.00,0.200,3.5,0.0000,0.0000
23645,9.452,P1: 天堂,84.58,3.8,5.9,0.7,0.00,0.200,3.4,0.0000,0.0000
